Hospital,Manufacturer,Division,EDI,Manufacturer Catalog Number,Product Description,List price,Prior price,Contracted price,Cap construct price,Provisional price,Unitof measure,UOM quantity,StartDate,EndDate,Use provisional price
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540137000,540137000,OPEN MIXING BOWL,0,750,750,0,0,BX,30,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546102000,546102000,PREP KIT W/O RESTRICTORS,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540151000,540151000,90 DEGREE CEMENT NOZZLE,0,321.3,321.3,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540153000,540153000,PRISM 8.5MM NOZZLE,0,439.5,439.5,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546110000,546110000,CEM RESTRICTOR SM,0,717.5,717.5,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540143000,540143000,PRISM SYRINGE SET,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546126000,546126000,FEMORAL PRESSURIZER,0,155.1,155.1,0,0,BX,5,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546112000,546112000,CEM RESTRICTOR LG,0,717.5,717.5,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3206002,3206002,WEDGE FEMORAL PRESSURISER,0,389.15,389.15,0,0,BX,5,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546122000,546122000,FEMORAL BRUSH,0,438,438,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540133500,540133500,PRISM II CART W/ BRKOFF NOZZLE,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540206000,540206000,DEPUY 6IN FEM CANAL SPONGE,0,293.15,293.15,0,0,BX,5,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540208000,540208000,DEPUY 8IN FEM CANAL SPONGE,0,273.2,273.2,0,0,BX,5,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540150000,540150000,65 DEGREE CEMENT NOZZLE,0,322,322,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540152000,540152000,90 DEGREE NOZZLE WIDE,0,561.2,561.2,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546128000,546128000,CEMENT CUP CURETTE,0,510.6,510.6,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546101000,PREP KIT W/RESTRICTORS,0,875,875,0,0,BX,5,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540198000,540198000,SMARTMIX TOWER CARTRIDGE,0,540,540,0,0,BX,6,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546130000,546130000,CEMENT SPATULA/RING CURETTE,0,250,250,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,831615,831615,SMARTMIX CEMVAC,0,2,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540176501,540176501,SMARTMIX CTS BOWL EMPTY,0,825,825,0,0,BX,15,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540139000,540139000,SMARTMIX MINI SH,0,900,900,0,0,BX,10,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,545032500,545032500,DEPUY/CMW 2G,0,2,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,545050501,545050501,SMARTSET GMV 40G US EO,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3092020,3092020,SMARTSET HV 20G,0,805,805,0,0,CA,20,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3122020,3122020,SMARTSET MV 20G - EO,0,805,805,0,0,CA,20,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,3122040,SMARTSET MV 40G - EO,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,3092040,SMARTSET HV BONE CEMENT 40G,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3102080,3102080,SMARTSET MV ENDURANCE 80G,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,3322020,DEPUY CMW 2 20G,0,805,805,0,0,CA,20,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3312040,3312040,DEPUY CMW 1 40G,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,545035500,SMARTSET GHV GENTAMICIN 40G,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3332040,3332040,DEPUY CMW 3 40G,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,545031500,545031500,DEPUY1 GENTAMICIN CEMENT 40G,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546348500,546348500,BIOSTOP G RESTR HOLDER 8MM,0,428,428,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546030000,SS CEMENT RESTRICTOR TRIAL 1,0,428,428,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546002000,546002000,CEMENT RESTRICTOR INSERTER,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546010000,546010000,CEMENT RESTRICTOR SIZE 1,0,71.75,71.75,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546012000,546012000,CEMENT RESTRICTOR SIZE 2,0,71.75,71.75,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546014000,546014000,CEMENT RESTRICTOR SIZE 3,0,71.75,71.75,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546016000,546016000,CEMENT RESTRICTOR SIZE 4,0,71.75,71.75,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546018000,546018000,CEMENT RESTRICTOR SIZE 5,0,71.75,71.75,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546020000,546020000,CEMENT RESTRICTOR SIZE 6,0,71.75,71.75,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546022000,546022000,CEMENT RESTRICTOR SIZE 7,0,71.75,71.75,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546308000,546308000,BIOSTOP G CEM RESTR 8MM,0,140.86,140.86,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546310000,546310000,BIOSTOP G CEM RESTR 10MM,0,123.19,123.19,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546312000,546312000,BIOSTOP G CEM RESTR 12MM,0,97.51,97.51,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546314000,546314000,BIOSTOP G CEM RESTR 14MM,0,91.2,91.2,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546316000,546316000,BIOSTOP G CEM RESTR 16MM,0,96.44,96.44,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546318000,546318000,BIOSTOP G CEM RESTR 18MM,0,179.84,179.84,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546320000,546320000,BIOSTOP G CEM RESTR 20MM,0,130.03,130.03,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540135000,540135000,PRISM RATCHET GUN,0,2,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540196500,540196500,DEPUY FOOT PUMP W/HOSE,0,2,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540197000,540197000,SMARTMIX TOWER RATCHET GUN,0,2,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,831603,831603,SMARTMIX CEMVAC GUN,0,2,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546358500,546358500,BIOSTOP G RESTR HOLDER 18-20MM,0,428,428,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546354500,546354500,BIOSTOP G RESTR HOLDER 14-16MM,0,428,428,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546340500,BIOSTOP G RESTR TRIAL 20MM,0,306.85,306.85,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546338500,BIOSTOP G RESTR TRIAL 18MM,0,306.85,306.85,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546336500,BIOSTOP G RESTR TRIAL 16MM,0,306.85,306.85,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546334500,BIOSTOP G RESTR TRIAL 14MM,0,306.85,306.85,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546332500,BIOSTOP G RESTR TRIAL 12MM,0,306.85,306.85,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546330500,BIOSTOP G RESTR TRIAL 10MM,0,306.85,306.85,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546328500,BIOSTOP G RESTR TRIAL 8MM,0,306.85,306.85,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546042000,SS CEMENT RESTRICTOR TRIAL 7,0,428,428,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546040000,SS CEMENT RESTRICTOR TRIAL 6,0,428,428,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546038000,SS CEMENT RESTRICTOR TRIAL 5,0,428,428,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546036000,SS CEMENT RESTRICTOR TRIAL 4,0,428,428,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546362500,546362500,BIOSTOP G STERILIZATION CASE,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546360500,546360500,BIOSTOP G INSERTER T-HANDLE,0,1,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546032000,SS CEMENT RESTRICTOR TRIAL 2,0,428,428,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546350500,546350500,BIOSTOP G RESTR HOLDER 10-12MM,0,428,428,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546034000,SS CEMENT RESTRICTOR TRIAL 3,0,428,428,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540137000,540137000,OPEN MIXING BOWL,0,25,25,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546102000,546102000,PREP KIT W/O RESTRICTORS,0,214.64,214.64,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540151000,540151000,90 DEGREE CEMENT NOZZLE,0,32.13,32.13,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540153000,540153000,PRISM 8.5MM NOZZLE,0,43.95,43.95,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546110000,546110000,CEM RESTRICTOR SM,0,71.75,71.75,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540143000,540143000,PRISM SYRINGE SET,0,105.67,105.67,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546126000,546126000,FEMORAL PRESSURIZER,0,31.02,31.02,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546112000,546112000,CEM RESTRICTOR LG,0,71.75,71.75,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3206002,3206002,WEDGE FEMORAL PRESSURISER,0,77.83,77.83,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546122000,546122000,FEMORAL BRUSH,0,43.8,43.8,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540133500,540133500,PRISM II CART W/ BRKOFF NOZZLE,0,175,175,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540206000,540206000,DEPUY 6IN FEM CANAL SPONGE,0,58.63,58.63,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540208000,540208000,DEPUY 8IN FEM CANAL SPONGE,0,54.64,54.64,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540150000,540150000,65 DEGREE CEMENT NOZZLE,0,32.2,32.2,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540152000,540152000,90 DEGREE NOZZLE WIDE,0,56.12,56.12,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546128000,546128000,CEMENT CUP CURETTE,0,51.06,51.06,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,546101000,PREP KIT W/RESTRICTORS,0,175,175,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540198000,540198000,SMARTMIX TOWER CARTRIDGE,0,90,90,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,546130000,546130000,CEMENT SPATULA/RING CURETTE,0,25,25,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,831615,831615,SMARTMIX CEMVAC,0,236.44,236.44,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540176501,540176501,SMARTMIX CTS BOWL EMPTY,0,55,55,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,540139000,540139000,SMARTMIX MINI SH,0,90,90,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,545032500,545032500,DEPUY/CMW 2G,0,114.54,114.54,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,545050501,545050501,SMARTSET GMV 40G US EO,0,158,158,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3092020,3092020,SMARTSET HV 20G,0,40.25,40.25,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3122020,3122020,SMARTSET MV 20G - EO,0,40.25,40.25,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,3122040,SMARTSET MV 40G - EO,0,54,54,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,3092040,SMARTSET HV BONE CEMENT 40G,0,54,54,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3102080,3102080,SMARTSET MV ENDURANCE 80G,0,89.24,89.24,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,3322020,DEPUY CMW 2 20G,0,40.25,40.25,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3312040,3312040,DEPUY CMW 1 40G,0,53.28,53.28,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,545035500,SMARTSET GHV GENTAMICIN 40G,0,158,158,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,3332040,3332040,DEPUY CMW 3 40G,0,53.28,53.28,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,545031500,545031500,DEPUY1 GENTAMICIN CEMENT 40G,0,157,157,0,0,EA,1,5/31/2020,10/31/2023,No
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011005,FEMORAL STEM 12/14 TAPER CEMENTLESS SIZE 0 STD COLLAR,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011010,ACTIS COLLARED STD SIZE 1,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011020,ACTIS COLLARED STD SIZE 2,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011030,ACTIS COLLARED STD SIZE 3,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011040,ACTIS COLLARED STD SIZE 4,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011050,ACTIS COLLARED STD SIZE 5,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011060,ACTIS COLLARED STD SIZE 6,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011070,ACTIS COLLARED STD SIZE 7,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011080,ACTIS COLLARED STD SIZE 8,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011090,ACTIS COLLARED STD SIZE 9,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011100,ACTIS COLLARED STD SIZE 10,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011110,ACTIS COLLARED STD SIZE 11,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101011120,ACTIS COLLARED STD SIZE 12,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012005,ACTIS DUOFIX HIP PROSTHESIS (FEMORAL STEM 12/14 TAPER CEMENTLESS SIZE 0 HIGH COLLAR),0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012010,ACTIS COLLARED HIGH SIZE 1,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012020,ACTIS COLLARED HIGH SIZE 2,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012030,ACTIS COLLARED HIGH SIZE 3,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012040,ACTIS COLLARED HIGH SIZE 4,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012050,ACTIS COLLARED HIGH SIZE 5,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012060,ACTIS COLLARED HIGH SIZE 6,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012070,ACTIS COLLARED HIGH SIZE 7,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012080,ACTIS COLLARED HIGH SIZE 8,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012090,ACTIS COLLARED HIGH SIZE 9,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012100,ACTIS COLLARED HIGH SIZE 10,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012110,ACTIS COLLARED HIGH SIZE 11,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101012120,ACTIS COLLARED HIGH SIZE 12,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013010,ACTIS COLLARED STD SZ 1,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013020,ACTIS COLLARED STD SZ 2,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013030,ACTIS COLLARED STD SZ 3,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013040,ACTIS COLLARED STD SZ 4,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013050,ACTIS COLLARED STD SZ 5,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013060,ACTIS COLLARED STD SZ 6,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013070,ACTIS COLLARED STD SZ 7,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013080,ACTIS COLLARED STD SZ 8,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013090,ACTIS COLLARED STD SZ 9,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013100,ACTIS COLLARED STD SZ 10,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013110,ACTIS COLLARED STD SZ 11,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101013120,ACTIS COLLARED STD SZ 12,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014010,ACTIS COLLARED HIGH SZ 1,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014020,ACTIS COLLARED HIGH SZ 2,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014030,ACTIS COLLARED HIGH SZ 3,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014040,ACTIS COLLARED HIGH SZ 4,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014050,ACTIS COLLARED HIGH SZ 5,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014060,ACTIS COLLARED HIGH SZ 6,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014070,ACTIS COLLARED HIGH SZ 7,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014080,ACTIS COLLARED HIGH SZ 8,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014090,ACTIS COLLARED HIGH SZ 9,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014100,ACTIS COLLARED HIGH SZ 10,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014110,ACTIS COLLARED HIGH SZ 11,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101014120,ACTIS COLLARED HIGH SZ 12,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021005,ACTIS COLLARLESS STD SZ 0,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021010,ACTIS COLLARLESS STD SZ 1,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021020,ACTIS COLLARLESS STD SZ 2,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021030,ACTIS COLLARLESS STD SZ 3,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021040,ACTIS COLLARLESS STD SZ 4,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021050,ACTIS COLLARLESS STD SZ 5,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021060,ACTIS COLLARLESS STD SZ 6,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021070,ACTIS COLLARLESS STD SZ 7,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021080,ACTIS COLLARLESS STD SZ 8,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021090,ACTIS COLLARLESS STD SZ 9,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021100,ACTIS COLLARLESS STD SZ 10,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021110,ACTIS COLLARLESS STD SZ 11,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101021120,ACTIS COLLARLESS STD SZ 12,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101022005,ACTIS COLLARLESS HIGH SZ 0,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101022010,ACTIS COLLARLESS HIGH SZ 1,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101022020,ACTIS COLLARLESS HIGH SZ 2,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101022030,ACTIS COLLARLESS HIGH SZ 3,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101022040,ACTIS COLLARLESS HIGH SZ 4,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101022050,ACTIS COLLARLESS HIGH SZ 5,0,3,,,,,,,,
Northwest Specialty Hospital,DePuy Synthes,Ortho Hip,,101022060,ACTIS COLLARLESS HIGH SZ 6,0,3,,,,,,,,
